Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,True Label,Short_MA,Long_MA
2015-05-14,2015,5,14,Thursday,19,2015-19,211.24,212.32,210.91,212.21,95934000.0,190.43,0.010427687057981585,+,188.67214285714286,187.2554
2015-05-15,2015,5,15,Friday,19,2015-19,212.44,212.61,211.86,212.44,76510100.0,190.64,0.0010837382294208722,+,188.7792857142857,187.3078
2015-05-18,2015,5,18,Monday,20,2015-20,212.24,213.4,212.16,213.1,74549700.0,191.23,0.0031067414705083785,+,188.88571428571427,187.42499999999995
2015-05-19,2015,5,19,Tuesday,20,2015-20,213.24,213.57,212.69,213.03,72114600.0,191.16,-0.0003285113893789493,-,189.04285714285714,187.52539999999996
2015-05-20,2015,5,20,Wednesday,20,2015-20,213.15,213.78,212.5,212.88,76857500.0,191.03,-0.0007043325471319807,-,189.32642857142852,187.68359999999996
2015-05-21,2015,5,21,Thursday,20,2015-20,212.71,213.75,212.51,213.5,64764600.0,191.59,0.002912451757675294,+,189.505,187.86159999999992
2015-05-22,2015,5,22,Friday,20,2015-20,213.04,213.54,212.91,212.99,57433500.0,191.13,-0.0023885354757251513,-,189.61214285714283,187.98379999999992
2015-05-26,2015,5,26,Tuesday,21,2015-21,212.4,212.91,210.2,210.7,124308600.0,189.07,-0.010751870077019277,-,189.72714285714284,188.08759999999992
2015-05-27,2015,5,27,Wednesday,21,2015-21,211.25,212.98,210.76,212.7,93214000.0,190.87,0.009492181715249126,+,190.02571428571426,188.17819999999992
2015-05-28,2015,5,28,Thursday,21,2015-21,212.33,212.59,211.63,212.46,74974600.0,190.65,-0.0011282489620877412,-,190.25571428571428,188.27539999999993
2015-05-29,2015,5,29,Friday,21,2015-21,212.38,212.43,210.82,211.14,124919600.0,189.47,-0.006212898623578989,-,190.225,188.30439999999987
2015-06-01,2015,6,1,Monday,22,2015-22,211.94,212.34,210.62,211.57,93338800.0,189.85,0.0020366395391229197,+,190.28642857142853,188.35819999999993
2015-06-02,2015,6,2,Tuesday,22,2015-22,211.02,212.19,210.27,211.36,91531000.0,189.67,-0.000992821912840669,-,190.375,188.37539999999993
2015-06-03,2015,6,3,Wednesday,22,2015-22,212.0,212.67,211.33,211.92,87820900.0,190.17,0.002649646712430842,+,190.49714285714282,188.40979999999988
2015-06-04,2015,6,4,Thursday,22,2015-22,211.07,211.86,209.75,210.13,151882800.0,188.56,-0.008446754020374425,-,190.36357142857145,188.43319999999989
2015-06-05,2015,6,5,Friday,22,2015-22,209.95,210.58,208.98,209.77,121704700.0,188.24,-0.0017131935486298655,-,190.19214285714287,188.50519999999992
2015-06-08,2015,6,8,Monday,23,2015-23,209.64,209.82,208.39,208.48,89063300.0,187.08,-0.006149499061804843,-,189.8957142857143,188.5627999999999
2015-06-09,2015,6,9,Tuesday,23,2015-23,208.45,209.1,207.69,208.45,105034700.0,187.05,-0.00014403875702873048,-,189.60214285714287,188.61139999999986
2015-06-10,2015,6,10,Wednesday,23,2015-23,209.37,211.41,209.3,210.95,134551300.0,189.3,0.01199340262927362,+,189.47857142857143,188.65979999999985
2015-06-11,2015,6,11,Thursday,23,2015-23,211.48,212.09,211.2,211.63,73876400.0,189.91,0.003223479765349424,+,189.35857142857142,188.75319999999985
2015-06-12,2015,6,12,Friday,23,2015-23,210.64,211.48,209.68,210.01,135382400.0,188.45,-0.007654928498988966,-,189.16714285714284,188.83039999999986
2015-06-15,2015,6,15,Monday,24,2015-24,208.64,209.45,207.79,209.11,124384200.0,187.65,-0.004285309677305449,-,189.06571428571425,188.87839999999986
2015-06-16,2015,6,16,Tuesday,24,2015-24,208.93,210.35,208.72,210.25,85308200.0,188.67,0.0054516151066383856,+,188.9085714285714,188.92179999999985
2015-06-17,2015,6,17,Wednesday,24,2015-24,210.59,211.32,209.36,210.59,126708600.0,188.98,0.0016170250071938508,+,188.7892857142857,188.98139999999984
2015-06-18,2015,6,18,Thursday,24,2015-24,211.31,213.34,210.63,212.78,165867900.0,190.94,0.010399545373653618,+,188.8942857142857,189.06759999999989
2015-06-19,2015,6,19,Friday,24,2015-24,211.46,211.55,210.36,210.81,130478700.0,190.09,-0.004439215945759578,-,188.91142857142862,189.12019999999993
2015-06-22,2015,6,22,Monday,25,2015-25,211.91,212.59,211.64,211.89,70696000.0,191.07,0.0051230859466839815,+,189.01142857142855,189.1719999999999
2015-06-23,2015,6,23,Tuesday,25,2015-25,212.14,212.44,211.57,212.04,68476800.0,191.2,0.0007078886135989393,+,189.085,189.24339999999992
2015-06-24,2015,6,24,Wednesday,25,2015-25,211.72,212.17,210.47,210.5,92307300.0,189.81,-0.007262855880576623,-,189.17428571428573,189.27979999999994
2015-06-25,2015,6,25,Thursday,25,2015-25,211.1,211.25,209.77,209.86,97107400.0,189.24,-0.003040612238335627,-,189.2457142857143,189.28799999999995
2015-06-26,2015,6,26,Friday,25,2015-25,210.29,210.58,209.16,209.82,104174800.0,189.2,-0.0001904565926686974,-,189.39714285714288,189.29639999999992
2015-06-29,2015,6,29,Monday,26,2015-26,208.05,209.83,205.33,205.42,202621300.0,185.23,-0.02097026520769452,-,189.26714285714291,189.2687999999999
2015-06-30,2015,6,30,Tuesday,26,2015-26,207.26,207.32,205.28,205.85,182925100.0,185.62,0.002093185039287349,+,189.0042857142857,189.21499999999992
2015-07-01,2015,7,1,Wednesday,26,2015-26,207.73,208.03,206.56,207.5,135979900.0,187.11,0.00801550045397348,+,188.80428571428573,189.19539999999995
2015-07-02,2015,7,2,Thursday,26,2015-26,208.07,208.27,206.81,207.31,104373700.0,186.94,-0.0009156511431123172,-,188.6964285714286,189.15399999999997
2015-07-06,2015,7,6,Monday,27,2015-27,205.77,207.65,205.53,206.72,117975400.0,186.4,-0.0028457073676092515,-,188.60714285714292,189.09219999999996
2015-07-07,2015,7,7,Tuesday,27,2015-27,206.96,208.17,204.11,208.02,173820200.0,187.58,0.006288605944505976,+,188.52928571428575,189.04519999999997
2015-07-08,2015,7,8,Wednesday,27,2015-27,206.42,206.76,204.25,204.53,164020100.0,184.43,-0.016777211567777672,-,188.20428571428573,188.95099999999996
2015-07-09,2015,7,9,Thursday,27,2015-27,207.04,207.35,204.77,204.9,144113100.0,184.76,0.0018089153614757605,+,187.76285714285717,188.8514
2015-07-10,2015,7,10,Friday,27,2015-27,207.29,207.98,204.95,207.48,129456900.0,187.09,0.012591313741027621,+,187.54857142857142,188.814
2015-07-13,2015,7,13,Monday,28,2015-28,208.99,209.9,208.94,209.77,106069400.0,189.15,0.011037319646502342,+,187.41142857142856,188.8558
2015-07-14,2015,7,14,Tuesday,28,2015-28,209.72,211.05,209.65,210.68,81709600.0,189.98,0.0043380936443222495,+,187.3242857142857,188.8736
2015-07-15,2015,7,15,Wednesday,28,2015-28,210.73,211.28,210.04,210.61,97914100.0,189.91,-0.00033220253816879097,-,187.33142857142857,188.8792
2015-07-16,2015,7,16,Thursday,28,2015-28,211.87,212.3,211.58,212.3,106683300.0,191.44,0.008024280698371467,+,187.48857142857145,188.9588
2015-07-17,2015,7,17,Friday,28,2015-28,212.29,212.55,211.8,212.48,89030000.0,191.6,0.0008479216156325188,+,187.66000000000003,189.057
2015-07-20,2015,7,20,Monday,29,2015-29,212.75,213.18,212.21,212.59,70446800.0,191.7,0.0005178149610296501,+,188.12214285714282,189.1424
2015-07-21,2015,7,21,Tuesday,29,2015-29,212.43,212.74,211.39,211.75,77965000.0,190.94,-0.003951330207939696,-,188.50214285714287,189.16320000000005
2015-07-22,2015,7,22,Wednesday,29,2015-29,210.93,211.77,210.89,211.37,88667900.0,190.6,-0.001794546197018132,-,188.75142857142856,189.19540000000003
2015-07-23,2015,7,23,Thursday,29,2015-29,211.53,211.65,209.75,210.18,90509100.0,189.52,-0.0056301273859752365,-,188.93571428571425,189.21720000000005
2015-07-24,2015,7,24,Friday,29,2015-29,210.3,210.37,207.6,208.0,117755000.0,187.56,-0.010371969733077637,-,189.01857142857145,189.19920000000005
2015-07-27,2015,7,27,Monday,30,2015-30,206.94,207.55,206.26,206.79,132361100.0,186.47,-0.005817345314920175,-,188.9392857142857,189.12000000000003
2015-07-28,2015,7,28,Tuesday,30,2015-30,207.79,209.5,206.8,209.33,123544800.0,188.76,0.012282949226924966,+,189.24857142857144,189.08240000000006
2015-07-29,2015,7,29,Wednesday,30,2015-30,209.48,211.04,209.31,210.77,105791300.0,190.06,0.006879293141716536,+,189.62714285714284,189.05900000000003
2015-07-30,2015,7,30,Thursday,30,2015-30,210.16,211.02,209.42,210.82,91304400.0,190.1,0.0002370829341473701,+,189.84214285714282,189.0378000000001
2015-07-31,2015,7,31,Friday,30,2015-30,211.42,211.45,210.16,210.5,103266900.0,189.81,-0.0015178380079158282,-,189.8892857142857,189.01340000000005
2015-08-03,2015,8,3,Monday,31,2015-31,210.46,210.53,208.65,209.79,113965700.0,189.17,-0.003372857648155869,-,189.83142857142846,188.96500000000003
2015-08-04,2015,8,4,Tuesday,31,2015-31,209.7,210.25,208.8,209.38,81820800.0,188.8,-0.0019542424314040736,-,189.75214285714284,188.91840000000005
2015-08-05,2015,8,5,Wednesday,31,2015-31,210.45,211.31,209.73,210.07,85786800.0,189.43,0.003295371568802885,+,189.6085714285714,188.9256000000001
2015-08-06,2015,8,6,Thursday,31,2015-31,210.29,210.42,207.65,208.35,116030800.0,187.87,-0.008187807662038415,-,189.34214285714282,188.8656000000001
2015-08-07,2015,8,7,Friday,31,2015-31,208.16,208.34,206.87,207.95,117858000.0,187.51,-0.0019198305468122177,-,189.04285714285714,188.80280000000005
2015-08-10,2015,8,10,Monday,32,2015-32,209.28,210.67,209.28,210.57,80270700.0,189.88,0.012599249062589468,+,188.96714285714282,188.81100000000006
2015-08-11,2015,8,11,Tuesday,32,2015-32,208.97,209.47,207.76,208.67,126081400.0,188.16,-0.00902325330218301,-,188.79285714285714,188.77720000000005
2015-08-12,2015,8,12,Wednesday,32,2015-32,207.11,209.14,205.36,208.92,172123700.0,188.39,0.0011981554488096346,+,188.71214285714282,188.7516
2015-08-13,2015,8,13,Thursday,32,2015-32,208.73,209.55,208.01,208.66,89383300.0,188.15,-0.0012445094575429527,-,188.7542857142857,188.7112
2015-08-14,2015,8,14,Friday,32,2015-32,208.43,209.51,208.26,209.42,72786500.0,188.84,0.0036424046488223727,+,188.92357142857142,188.71680000000003
2015-08-17,2015,8,17,Monday,33,2015-33,208.71,210.59,208.16,210.59,79072600.0,189.89,0.005586638222935258,+,189.0042857142857,188.7498
2015-08-18,2015,8,18,Tuesday,33,2015-33,210.26,210.68,209.7,209.98,71692700.0,189.34,-0.002896604059584807,-,188.95285714285708,188.79500000000004
2015-08-19,2015,8,19,Wednesday,33,2015-33,209.09,210.01,207.35,208.32,172946000.0,187.85,-0.007905312893116023,-,188.79214285714284,188.81100000000006
2015-08-20,2015,8,20,Thursday,33,2015-33,206.51,208.29,203.9,203.97,194327900.0,183.92,-0.020881465292109214,-,188.37142857142857,188.70340000000007
2015-08-21,2015,8,21,Friday,33,2015-33,201.73,203.94,197.52,197.83,346588500.0,178.39,-0.030102523646874824,-,187.60142857142856,188.47300000000007
2015-08-24,2015,8,24,Monday,34,2015-34,187.49,197.48,182.4,189.5,507244300.0,170.88,-0.042106825331926,-,186.32142857142853,188.12160000000003
2015-08-25,2015,8,25,Tuesday,34,2015-34,195.43,195.45,186.92,187.27,369833100.0,168.87,-0.011767904813059116,-,184.85285714285712,187.74600000000007
2015-08-26,2015,8,26,Wednesday,34,2015-34,192.08,194.79,188.37,194.46,339257000.0,175.35,0.03839398721095,+,183.9585714285714,187.4796000000001
2015-08-27,2015,8,27,Thursday,34,2015-34,197.02,199.42,195.21,199.27,274143900.0,179.69,0.024735048134698845,+,183.39999999999995,187.2938000000001
2015-08-28,2015,8,28,Friday,34,2015-34,198.5,199.84,197.92,199.28,160414400.0,179.7,5.010208086675405e-05,+,182.67285714285708,187.06900000000007
2015-08-31,2015,8,31,Monday,35,2015-35,198.11,199.13,197.01,197.67,163298800.0,178.24,-0.008078852988159134,-,181.9642857142856,186.83200000000008
2015-09-01,2015,9,1,Tuesday,35,2015-35,193.12,194.77,190.73,191.77,256000400.0,172.92,-0.029847945542861413,-,180.8592857142857,186.46900000000008
2015-09-02,2015,9,2,Wednesday,35,2015-35,194.62,195.46,192.42,195.41,160269300.0,176.21,0.018981197929079933,+,180.00642857142853,186.16920000000005
2015-09-03,2015,9,3,Thursday,35,2015-35,196.26,198.05,194.96,195.55,152087800.0,176.33,0.0007164104140597871,+,179.11285714285708,185.89960000000008
2015-09-04,2015,9,4,Friday,35,2015-35,192.85,193.86,191.61,192.59,207081000.0,173.66,-0.015136824002305982,-,177.95357142857137,185.58800000000008
2015-09-08,2015,9,8,Tuesday,36,2015-36,195.94,197.61,195.17,197.43,116025700.0,178.03,0.02513109338206876,+,177.14571428571418,185.36460000000002
2015-09-09,2015,9,9,Wednesday,36,2015-36,199.32,199.47,194.35,194.79,149347700.0,175.65,-0.013371649223782645,-,176.2742857142857,185.1730000000001
2015-09-10,2015,9,10,Thursday,36,2015-36,194.56,197.22,194.25,195.85,158611100.0,176.6,0.005441564276637445,+,175.75142857142848,184.99260000000007
2015-09-11,2015,9,11,Friday,36,2015-36,195.38,196.82,194.53,196.74,119691200.0,177.41,0.004544381986600675,+,175.68142857142848,184.79860000000005
