Weekday,Return
Monday,0.005586638222935258
Tuesday,-0.002896604059584807
Wednesday,-0.007905312893116023
Thursday,-0.020881465292109214
Friday,-0.030102523646874824
Monday,-0.042106825331926
Tuesday,-0.011767904813059116
Wednesday,0.03839398721095
Thursday,0.024735048134698845
Friday,5.010208086675405e-05
Monday,-0.008078852988159134
Tuesday,-0.029847945542861413
Wednesday,0.018981197929079933
Thursday,0.0007164104140597871
Friday,-0.015136824002305982
Tuesday,0.02513109338206876
Wednesday,-0.013371649223782645
Thursday,0.005441564276637445
Friday,0.004544381986600675
Monday,-0.0037105058836977007
Tuesday,0.012499366545322577
Wednesday,0.008666627842502272
Thursday,-0.002247979540368372
Friday,-0.016341412849342433
Monday,0.0051675840879028545
Tuesday,-0.012979661632159243
Wednesday,-0.0015986933340694787
Thursday,-0.003615884606117392
Friday,-0.00025901528984362265
Monday,-0.02509729774791225
Tuesday,0.0005850484921390288
Wednesday,0.018658344876378186
Thursday,0.002609163230871569
Friday,0.014937820269509185
Monday,0.017794834562521178
Tuesday,-0.0034261386908881475
Wednesday,0.008190555595652738
Thursday,0.009026636873066709
Friday,0.000596448150843365
Monday,0.000943513682077235
Tuesday,-0.0063020666478152965
Wednesday,-0.004794208581909931
Thursday,0.015354738597770812
Friday,0.004546702451053042
Monday,0.0004916854882468513
Tuesday,-0.0012781513433501868
Wednesday,-0.006203581713092987
Thursday,0.016893625254786215
Friday,0.010961615523396029
Monday,-0.0024576006292703627
Tuesday,-0.0019324413243168024
Wednesday,0.011374605920945413
Thursday,-0.0005743544031729941
Friday,-0.004309609588597163
Monday,0.011831011138874414
Tuesday,0.002899244415329738
Wednesday,-0.0030333558242067182
Thursday,-0.000998083139397199
Friday,-0.000523491804889975
Monday,-0.009331530328014592
Tuesday,0.002306699630767905
Wednesday,-0.003931462263911056
Thursday,-0.013959927463805257
Friday,-0.011228337945958787
Monday,0.015207009975958696
Tuesday,-0.0007294676351747853
Wednesday,0.015866073894531096
Thursday,-0.000862318565899356
Friday,0.003644123657881693
Monday,-0.0011468938599598073
Tuesday,0.0013394449922914387
Wednesday,-0.000143133323544542
Friday,0.0011465172848579286
Monday,-0.004151526208035493
Tuesday,0.009535560679835964
Wednesday,-0.01020498341025988
Thursday,-0.014002786252217958
Friday,0.01950295047574491
Monday,-0.00605854578518239
Tuesday,-0.006719558597758635
Wednesday,-0.007779707992716768
Thursday,0.0025811311312828877
Friday,-0.01938117643807213
Monday,0.00505244233344615
Tuesday,0.010497800927750543
Wednesday,0.014631993955664948
Thursday,-0.015238138704885218
Friday,-0.017814916954550952
Monday,0.00824902283599527
Tuesday,0.009074402030961215
Wednesday,0.012383311796209329
Thursday,-0.0016505585581135795
Monday,-0.0022847423052163585
Tuesday,0.01067165049973573
Wednesday,-0.007087698376036733
Thursday,-0.010003491092351102
Monday,-0.013979473022994848
Tuesday,0.0016914470288540429
Wednesday,-0.012614317302496405
