Weekday,Return
Friday,0.02017306648263406
Monday,0.015408327264755828
Tuesday,-0.0002528407275895761
Wednesday,0.026309258217156458
Thursday,0.005422784129850644
Friday,-0.0053935361476255
Monday,0.002711203187941269
Tuesday,-0.028023628917916654
Wednesday,0.0063228269634674214
Thursday,0.01558167461902471
Friday,-0.0009899682125518172
Monday,-0.006192578472396959
Tuesday,-0.0062312927837941965
Wednesday,-0.011176095170967959
Thursday,0.008733743845986908
Friday,0.01629760358790322
Monday,-0.00902043865543678
Tuesday,-0.008343906333054152
Wednesday,0.009688982391894195
Thursday,-0.009343658022371136
Friday,-0.0040783631563987574
Monday,-0.0007678971850548777
Tuesday,-0.0005122602636179474
Wednesday,0.026140602413711637
Thursday,-0.013236711445838491
Friday,0.008858391370005991
Monday,0.003261477641796517
